Genus	Subfamily	Family	Accession	Phage	Genome
Gundecimvirus	Studiervirinae	Autotranscriptaviridae	OQ622254	Pseudomonas phage vB_PaeM-G11	dsDNA
Helsettvirus	Studiervirinae	Autotranscriptaviridae	LT960606	Yersinia phage fPS-9	dsDNA
Helsettvirus	Studiervirinae	Autotranscriptaviridae	LT961845	Yersinia phage fPS-59	dsDNA
Hennigervirus	Studiervirinae	Autotranscriptaviridae	MG775258	Pseudomonas phage Henninger	dsDNA
Hennigervirus	Studiervirinae	Autotranscriptaviridae	MT104465	Pseudomonas phage MR1	dsDNA
Jarilovirus	Studiervirinae	Autotranscriptaviridae	MH059637	Pectobacterium phage Jarilo	dsDNA
Jelgvirus	Studiervirinae	Autotranscriptaviridae	ON604651	Aeromonas phage JELG-KS1	dsDNA
Kayfunavirus	Studiervirinae	Autotranscriptaviridae	ON637250	Escherichia phage 6925	dsDNA
Kayfunavirus	Studiervirinae	Autotranscriptaviridae	MZ234021	Escherichia phage vB_EcoP-101118UKE1	dsDNA
Maklayavirus	Studiervirinae	Autotranscriptaviridae	MK290739	Pectobacterium phage Q19	dsDNA
Minipunavirus	Studiervirinae	Autotranscriptaviridae	OK499982	Morganella phage vB_MmoP_Lilpapawes	dsDNA
Minipunavirus	Studiervirinae	Autotranscriptaviridae	EU652770	Morganella phage MmP1	dsDNA
Ningirsuvirus	Studiervirinae	Autotranscriptaviridae	ON287378	Dickeya phage DchS19	dsDNA
Ningirsuvirus	Studiervirinae	Autotranscriptaviridae	MH460459	Dickeya phage_vB_DsoP_JA10	dsDNA
Pektosvirus	Studiervirinae	Autotranscriptaviridae	KY250035	Pectobacterium phage PP47	dsDNA
Pektosvirus	Studiervirinae	Autotranscriptaviridae	LC216347	Pectobacterium phage PPWS4 DNA	dsDNA
Pfluvirus	Studiervirinae	Autotranscriptaviridae	MH268168	Pseudomonas phage PFP1	dsDNA
Pfluvirus	Studiervirinae	Autotranscriptaviridae	MH179472	Pseudomonas phage 22PfluR64PP	dsDNA
Phutvirus	Studiervirinae	Autotranscriptaviridae	AB775549	Pseudomonas phage PPpW-4	dsDNA
Phutvirus	Studiervirinae	Autotranscriptaviridae	OQ716796	Pseudomonas phage PSA6	dsDNA
Pifdecavirus	Studiervirinae	Autotranscriptaviridae	MT094431	Pseudomonas phage BIM BV-46	dsDNA
Pifdecavirus	Studiervirinae	Autotranscriptaviridae	GU583987	Pseudomonas phage phiIBB-PF7A	dsDNA
Pijolavirus	Studiervirinae	Autotranscriptaviridae	OM131411	Pseudomonas phage Pf17397_F_PD1	dsDNA
Pijolavirus	Studiervirinae	Autotranscriptaviridae	KY971611	Pseudomonas phage PspYZU08	dsDNA
Przondovirus	Studiervirinae	Autotranscriptaviridae	MW042790	Klebsiella phage 066022	dsDNA
Przondovirus	Studiervirinae	Autotranscriptaviridae	MW042806	Klebsiella phage 066046	dsDNA
Rambovirus	Studiervirinae	Autotranscriptaviridae	OK042080	Yersinia phage vB_YenP_Rambo	dsDNA
Rindgevirus	Studiervirinae	Autotranscriptaviridae	OQ507919	Escherichia phage vB_Ec_Tarrare	dsDNA
Sarmavirus	Studiervirinae	Autotranscriptaviridae	OL856139	Rahnella phage Sarma103	dsDNA
Snaubvirus	Studiervirinae	Autotranscriptaviridae	MN184885	Erwinia phage pEp_SNUABM_09	dsDNA
Solymavirus	Studiervirinae	Autotranscriptaviridae	MW057854	Providencia phage PSTCR2	dsDNA
Solymavirus	Studiervirinae	Autotranscriptaviridae	MW358928	Providencia phage PSTRCR_120	dsDNA
Teetrevirus	Studiervirinae	Autotranscriptaviridae	MF285620	Serratia phage 2050H2	dsDNA
Teetrevirus	Studiervirinae	Autotranscriptaviridae	KM253764	Yersinia phage vB_YenP_AP5	dsDNA
Teseptimavirus	Studiervirinae	Autotranscriptaviridae	EU734174	Escherichia phage 13a	dsDNA
Teseptimavirus	Studiervirinae	Autotranscriptaviridae	AY247822	Yersinia phage phiA1122	dsDNA
Troedvirus	Studiervirinae	Autotranscriptaviridae	FR823298	Pseudomonas phage phi15	dsDNA
Troedvirus	Studiervirinae	Autotranscriptaviridae	MT711887	Pseudomonas phage Stalingrad	dsDNA
Unosvirus	Studiervirinae	Autotranscriptaviridae	OK094519	Pseudomonas phage PCS4	dsDNA
Unosvirus	Studiervirinae	Autotranscriptaviridae	KX431888	Pseudomonas phage UNO-SLW1	dsDNA
Unyawovirus	Studiervirinae	Autotranscriptaviridae	MF979561	Pectobacterium phage DU_PP_II	dsDNA
Unyawovirus	Studiervirinae	Autotranscriptaviridae	ON995367	Pectobacterium phage vB_PcaP_P15_PC2B6	dsDNA
Waldovirus	Studiervirinae	Autotranscriptaviridae	MT711890	Pseudomonas phage PlaquesPlease	dsDNA
Waldovirus	Studiervirinae	Autotranscriptaviridae	MT711889	Pseudomonas phage Waldo5	dsDNA
Warsawvirus	Studiervirinae	Autotranscriptaviridae	MT597419	Pseudomonas phage vB_PsyP_3MF5	dsDNA
Wuhanvirus	Studiervirinae	Autotranscriptaviridae	MF166859	Pasteurella phage PHB01	dsDNA
