Genus	Subfamily	Family	Accession	Phage	Genome
Ghobesvirus			KX557278	Gordonia phage Ghobes	dsDNA
Gilesvirus			EU203571	Mycobacterium phage Giles	dsDNA
Gilesvirus			PQ821648	Mycobacterium phage ZM2	dsDNA
Gilgameshvirus			MN234216	Streptomyces phage Gilgamesh	dsDNA
Gillianvirus			MH727556	Microbacterium phage OneinaGillian	dsDNA
Gimaduovirus			KR063281	Gordonia phage GMA2	dsDNA
Gladiatorvirus			MN586039	Mycobacterium phage Blinn1	dsDNA
Gladiatorvirus			KF560332	Mycobacterium phage CloudWang3	dsDNA
Godonkavirus			MK620899	Gordonia phage GodonK	dsDNA
Godonkavirus			MN096369	Gordonia phage Phendrix	dsDNA
Gofduovirus			MH898687	Edwardsiella phage Edno5	dsDNA
Gofduovirus			AP014629	Edwardsiella phage GF-2	dsDNA
Goodmanvirus			MK016495	Microbacterium phage Goodman	dsDNA
Gordonvirus			MH450115	Arthrobacter phage Breylor17	dsDNA
Gordonvirus			KU160641	Arthrobacter phage CaptnMurica	dsDNA
Gordtnkvirus			KP790008	Gordonia phage GordTnk2	dsDNA
Gorganvirus			KY742649	Proteus phage vB_PmiS-Isfahan	dsDNA
Gorjumvirus			KX557281	Gordonia phage Jumbo	dsDNA
Grutrevirus			KR053198	Gordonia phage GMA5	dsDNA
Grutrevirus			KR053197	Gordonia phage GRU3	dsDNA
Gustavvirus			MG198784	Gordonia phage Gustav	dsDNA
Gustavvirus			MG198783	Gordonia phage Mahdia	dsDNA
Hafyongvirus			MT135176	Hafnia phage yong1	dsDNA
Haihevirus			OM141125	Pseudomonas phage PP9W2	dsDNA
Halcyonevirus			MH431938	Paenibacillus phage C7Cdelta	dsDNA
Halcyonevirus			MH460827	Paenibacillus phage Halcyone	dsDNA
Halfdanvirus			MH362766	Escherichia phage Halfdan	dsDNA
Hapunavirus			EU399241	Halomonas phage phiHAP-1	dsDNA
Hapunavirus			EF057797	Vibrio phage VP882	dsDNA
Harrisonburgvirus			MT613935	Pseudomonas phage Persinger	dsDNA
Hattifnattvirus			MN812207	Flavobacterium phage vB_FspS_hattifnatt9-1	dsDNA
Hedwigvirus			KX557279	Gordonia phage Hedwig	dsDNA
Heilongjiangvirus			MG020111	Lactobacillus phage Lb	dsDNA
Helsingorvirus			KC821613	Cellulophaga phage phi12:1	dsDNA
Helsingorvirus			KC821617	Cellulophaga phage phi17:1	dsDNA
Hestiavirus			MH910036	Arthrobacter phage Hestia	dsDNA
Hiroshimavirus			AB775548	Pseudomonas phage PPpW-3	dsDNA
Hiyaavirus			MK279841	Streptomyces phage Hiyaa	dsDNA
Hnatkovirus			JN698994	Mycobacterium phage DS6A	dsDNA
Hollowayvirus			MF490237	Pseudomonas phage vB_PaeP_E220	dsDNA
Hollowayvirus			MT118301	Pseudomonas phage Epa33	dsDNA
Holosalinivirus			MF580955	Salinibacter phage M1EM-1	dsDNA
Holosalinivirus			MF580957	Salinibacter phage M8CR30-2	dsDNA
Homburgvirus			KJ094020	Listeria phage LP-026	dsDNA
Homburgvirus			JX126920	Listeria phage LP-037	dsDNA
Howevirus			KU252585	Gordonia phage Howe	dsDNA
Howevirus			MN428055	Gordonia phage Mcklovin	dsDNA
Huairouvirus			MW582532	Nocardia phage P3.1	dsDNA
Hubeivirus			KT725776	Bacillus phage vB_BceS-MY192	dsDNA
Hubeivirus			KX227757	Bacillus phage PfEFR-4	dsDNA
Hulijingvirus			ON778007	Pseudomonas phage vB_Pae_LC3I3	dsDNA
Hungariovirus			MH363708	Escherichia phage C130_2	dsDNA
Iaduovirus			KR905068	Lactobacillus phage iA2	dsDNA
Ibantikvirus			MH155870	Streptomyces phage Ibantik	dsDNA
Identitycrisisvirus			MN234184	Mycobacterium phage IdentityCrisis	dsDNA
Ignaciovirus			ON392164	Streptomyces phage AxeJC	dsDNA
Ignaciovirus			MT451982	Streptomyces phage Cumberbatch	dsDNA
Ikedavirus			MG324353	Corynebacterium phage phi673	dsDNA
Ikedavirus			MG324354	Corynebacterium phage phi674	dsDNA
Illiduovirus			PP496443	Pseudomonas phage vB_PpuM-Lauda	dsDNA
Illiduovirus			PP496444	Pseudomonas phage vB_PpuM-Peetri	dsDNA
Ilzatvirus			MG839019	Microbacterium phage Hamlet	dsDNA
Ilzatvirus			MG839029	Microbacterium phage Ilzat	dsDNA
Immutovirus			MW353175	Flavobacterium phage vB_FspM_immuto_2-6A	dsDNA
Incheonvirus			KR136259	Polaribacter phage P12002L	dsDNA
Incheonvirus			KR136260	Polaribacter phage P12002S	dsDNA
Indlulamithivirus			MN585993	Mycobacterium phage Indlulamithi	dsDNA
Inhavirus			JQ823123	Nonlabens phage P12024L	dsDNA
Inhavirus			JQ823122	Nonlabens phage P12024S	dsDNA
Iodovirus			EU876853	Iodobacter phage PhiPLPE	dsDNA
Ionavirus			GQ357915	Delftia phage PhiW-14	dsDNA
Isoldevirus			MH910037	Arthrobacter phage Isolde	dsDNA
Ittyvirus			MW460249	Pseudomonas phage Itty13	dsDNA
Jacevirus			MH153804	Gordonia phage Jace	dsDNA
Jarrellvirus			AY616446	Bacillus phage BCASJ1c	dsDNA
Jasminevirus			MF668266	Arthrobacter phage Adat	dsDNA
Jasminevirus			KU160650	Arthrobacter phage Jasmine	dsDNA
Jenstvirus			KT151955	Brevibacillus phage Jenst	dsDNA
Jimmervirus			KC595514	Brevibacillus phage Jimmer2	dsDNA
Jimmervirus			KT151956	Brevibacillus phage Osiris	dsDNA
Juiceboxvirus			MH727550	Corynebacterium phage Juicebox	dsDNA
Jujuvirus			MT723935	Gordonia phage Azula	dsDNA
Jujuvirus			MW291016	Gordonia phage Blino	dsDNA
Junavirus			KC171646	Lactobacillus phage J-1	dsDNA
Junavirus			MF999224	Lactobacillus phage LJ	dsDNA
Kafunavirus			AB757800	Edwardsiella phage KF-1	dsDNA
Kairosalinivirus			MF580961	Salinibacter phage M31CR41-2	dsDNA
Kairosalinivirus			MF629150	Salinibacter phage SRUTV-1	dsDNA
Kamchatkavirus			KX965989	Aeribacillus phage AP45	dsDNA
Kampevirus			MH536812	Gordonia phage Apricot	dsDNA
Kelleziovirus			KU647626	Arthrobacter phage KellEzio	dsDNA
Kelleziovirus			KU647627	Arthrobacter phage Kitkat	dsDNA
Kelquatrovirus			MH128984	Burkholderia phage vB_BmuP_KL4	dsDNA
Kimonavirus			MF472895	Mycobacterium phage Kimona	dsDNA
Klausavirus			KM879463	Arthrobacter phage vB_ArtM-ArV1	dsDNA
Klausavirus			MF185718	Arthrobacter phage Colucci	dsDNA
Kleczkowskavirus			JX483876	Rhizobium phage RHEph04	dsDNA
Klementvirus			AB720063	Xanthomonas phage CP1	dsDNA
Klepvirus			OM654376	Paracoccus phage vB_PmaP_KLEP18-1	dsDNA
Knuthellervirus			MG596800	Pseudomonas phage PMBT14	dsDNA
Kochitakasuvirus			AB910393	Pseudomonas phage KPP25	dsDNA
Kochitakasuvirus			LC102729	Pseudomonas phage PhiR18	dsDNA
Kojivirus			MG925343	Microbacterium phage Golden	dsDNA
Kojivirus			MG925345	Microbacterium phage Koji	dsDNA
Konstantinevirus			FJ174691	Mycobacterium phage Konstantine	dsDNA
Korravirus			KU160640	Arthrobacter phage Bennie	dsDNA
Korravirus			MK112529	Arthrobacter phage BigMack	dsDNA
Kostyavirus			JF937091	Mycobacterium phage Bask21	dsDNA
Kostyavirus			AY129331	Mycobacterium phage CJW1	dsDNA
Krampusvirus			MH271301	Microbacterium phage Krampus	dsDNA
Krompvirus			MH744420	Streptomyces phage Kromp	dsDNA
Kronosvirus			OQ330850	Caulobacter phage TMCBR4	dsDNA
Kronosvirus			MH884648	Caulobacter phage Kronos	dsDNA
Krylovvirus			HE611333	Pseudomonas phage tf	dsDNA
Kryptosalinivirus			MF580956	Salinibacter phage M8CC-19	dsDNA
Kryptosalinivirus			MF580959	Salinibacter phage M8CRM-1	dsDNA
Kuleanavirus			MN484600	Arthrobacter phage Kuleana	dsDNA
Kumottavirus			MK977703	Arthrobacter phage Kumotta	dsDNA
Kumottavirus			MH450123	Arthrobacter phage MargaretKali	dsDNA
Kungbxnavirus			LC168164	Tenacibaculum phage pT24	dsDNA
Kunmingvirus			MK804891	Aeromonas phage 2_D05	dsDNA
Kunmingvirus			MK804892	Aeromonas phage 4_D05	dsDNA
Lacfervirus			OR048821	Lactobacillus virus LFP01	dsDNA
Lacnuvirus			AY131267	Lactobacillus phage Lc-Nu	dsDNA
Lacusarxvirus			KY629563	Sphingobium phage Lacusarx	dsDNA
Lafunavirus			HQ141410	Lactobacillus phage LF1	dsDNA
Lagaffevirus			MG711461	Faecalibacterium phage FP_Lagaffe	dsDNA
Lanavirus			MK473373	Pseudomonas phage Lana	dsDNA
Larmunavirus			EU246945	Lactobacillus phage Lrm1	dsDNA
Laroyevirus			KU160654	Arthrobacter phage Laroye	dsDNA
Laroyevirus			MF140418	Arthrobacter phage LiSara	dsDNA
Lastavirus			MT251347	Klebsiella phage LASTA	dsDNA
Lastavirus			MF612073	Klebsiella phage SopranoGao	dsDNA
Latrobevirus			MK554696	Fusobacterium phage FNU1	dsDNA
Lederbergvirus			LT714109	Salmonella phage BTP1	dsDNA
Lederbergvirus			AF335538	Enterobacteria phage HK620	dsDNA
Leicestervirus			LN681535	Clostridium phage phiCD111	dsDNA
Leicestervirus			LN681536	Clostridium phage phiCD146	dsDNA
Lentavirus			MH626557	Eggerthella phage PMBT5	dsDNA
Lessievirus			AY349011	Burkholderia phage Bcep22	dsDNA
Lessievirus			FJ937737	Burkholderia phage BcepIL02	dsDNA
Lietduovirus			MK388689	Pantoea phage vB_PagM_LIET2	dsDNA
Lightbulbvirus			KC821632	Cellulophaga phage phi4:1	dsDNA
Lightbulbvirus			KC821609	Cellulophaga phage phi17:2	dsDNA
Lillamyvirus			MN812208	Flavobacterium phage vB_FspS_hemulen6-1	dsDNA
Lillamyvirus			MN812212	Flavobacterium phage vB_FspS_lillamy9-1	dsDNA
Lilspottyvirus			MK977707	Mycobacterium phage LilSpotty	dsDNA
Lilyvirus			KP296792	Bacteriophage Lily	dsDNA
Lingdingyangvirus			MT074134	Bacteroides phage ARB14	dsDNA
Lingdingyangvirus			OP172713	Bacteroides phage BT401P3	dsDNA
Lishizhenvirus			MW748993	Pseudomonas phage BUCT566	dsDNA
Llyrvirus			HQ633071	Synechococcus phage S-SKS1	dsDNA
Lokivirus			KF811200	Acinetobacter phage IMEAB3	dsDNA
Lokivirus			LN890663	Acinetobacter phage Loki	dsDNA
Loughboroughvirus			MK673511	Salmonella phage ZCSE2	dsDNA
Lowersilesiavirus			OQ101248	Acinetobacter phage Acba_3	dsDNA
Lowersilesiavirus			OQ101249	Acinetobacter phage Acba_4	dsDNA
Lubbockvirus			AY855346	Clostridium phage phi CD119	dsDNA
Lubbockvirus			LK985322	Clostridium phage phiCDHM19	dsDNA
Luchadorvirus			MT522004	Mycobacterium phage Gail	dsDNA
Luchadorvirus			MN310541	Mycobacterium phage Jeeves	dsDNA
Luckybarnesvirus			MF668275	Brevibacterium phage LuckyBarnes	dsDNA
Luckytenvirus			KU963256	Gordonia phage Lucky10	dsDNA
Lughvirus			MG711464	Faecalibacterium phage FP_Lugh	dsDNA
Luojiashanvirus			OR797046	Stenotrophomonas phage vB_SmaS_Bhz63	dsDNA
Luojiashanvirus			MT872956	Stenotrophomonas phage phiSHP3	dsDNA
Lwoffvirus			JX887877	Bacillus phage vB_BtS_BMBtp2	dsDNA
Lwoffvirus			EU887664	Bacillus phage TP21-L	dsDNA
Macdonaldcampvirus			MK947460	Salmonella phage vB_SenS_SB28	dsDNA
Macdonaldcampvirus			AM491472	Salmonella phage Vi II-E1	dsDNA
Magadivirus			KU665491	Bacillus phage Mgbh1	dsDNA
Magiavirus			MT701587	Burkholderia phage Magia	dsDNA
Majavirus			MK279899	Arthrobacter phage Maja	dsDNA
Malagasyrosevirus			MN234170	Mycobacterium phage MalagasyRose	dsDNA
Malkevirus			KT337347	Streptococcus phage phiARI0285-3	dsDNA
Malkevirus			KY065485	Streptococcus phage IPP45	dsDNA
Manovirus			MT708550	Achromobacter phage Mano	dsDNA
Marchandvirus			JQ177065	Pectobacterium phage ZF40	dsDNA
Mardecavirus			JX556418	Vibrio phage vB_VpaS_ MAR10	dsDNA
Mardecavirus			JQ692107	Vibrio phage SSP002	dsDNA
Mareflavirus			MK203850	Alteromonas phage ZP6	dsDNA
Marfavirus			MG746602	Klebsiella phage vB_Kpn_F48	dsDNA
Marfavirus			MN044033	Klebsiella phage Marfa	dsDNA
Mariborvirus			MT635598	Bacteroides phage Bacuni_F1	dsDNA
Marienburgvirus			AJ556162	Enterobacteria phage BP-4795	dsDNA
Marienburgvirus			JQ347801	Escherichia phage JLK-2012	dsDNA
Marvinvirus			JF704100	Mycobacterium phage Marvin	dsDNA
Marvinvirus			KJ538721	Mycobacterium phage MosMoris	dsDNA
Maxrubnervirus			MG596799	Pseudomonas phage PMBT3	dsDNA
Mboduovirus			ON191531	Rhodococcus phage Mbo2	dsDNA
Mboquatrovirus			ON191532	Rhodococcus phage Mbo4	dsDNA
Mcgonagallvirus			KU998255	Gordonia phage McGonagall	dsDNA
Medeavirus			MW862109	Pseudomonas phage Medea1	dsDNA
Melbournevirus			JN116823	Rhodococcus phage REQ2	dsDNA
Menderavirus			KR560069	Stenotrophomonas phage IME-SM1	dsDNA
Menderavirus			MN098328	Stenotrophomonas phage Mendera	dsDNA
Metrivirus			KU935715	Acinetobacter phage vB_AbaM_ME3	dsDNA
Micavirus			MT701586	Burkholderia phage Mica	dsDNA
Microwolfvirus			AY129332	Mycobacterium phage Bxz2	dsDNA
Microwolfvirus			JF704098	Mycobacterium phage JHC117	dsDNA
Midgardsormrvirus			MN602881	Erwinia phage Midgardsormr38	dsDNA
Miecznikowavirus			KU708004	Pseudomonas phage phiAH14a	dsDNA
Mieseafarmvirus			AB366653	Ralstonia phage phiRSL1	dsDNA
Mimasvirus			KU574722	Pectinobbacterium phage vB_PcaM_CBB	dsDNA
Mimasvirus			JN882285	Cronobacter phage vB_CsaM_GAP32	dsDNA
Minunavirus			EF579802	Microbacterium phage Min1	dsDNA
Minyavirus			OR599646	Pectobacterium phage PcaP2EGY	dsDNA
Miyazakivirus			OP429095	Nocardia phage NS-I	dsDNA
Mohonavirus			HQ641347	Vibrio phage ICP1	dsDNA
Mollymurvirus			MK977705	Gordonia phage Mollymur	dsDNA
Montyvirus			MG757152	Gordonia phage Adgers	dsDNA
Montyvirus			MK967390	Gordonia phage Beaver	dsDNA
Motookavirus			PV796108	Bacillus phage Edson	dsDNA
Motookavirus			LC597490	Bacillus phage vB_BceM_WH1	dsDNA
Moturavirus			MN094788	Achromobacter phage Motura	dsDNA
Mudcatvirus			MF189170	Arthrobacter phage Arcadia	dsDNA
Mudcatvirus			MF324906	Arthrobacter phage Cheesy	dsDNA
Mufasoctovirus			MN586027	Arthrobacter phage Mufasa8	dsDNA
Muldoonvirus			MN095771	Serratia phage Muldoon	dsDNA
Muldoonvirus			KJ025957	Serratia phage PS2	dsDNA
Muminvirus			MN812206	Flavobacterium phage vB_FspS_filifjonk9-1	dsDNA
Muminvirus			MN812224	Flavobacterium phage vB_FspS_mumin9-1	dsDNA
Murrayvirus			KF591601	Enterobacteria phage IME_EC2	dsDNA
Murrayvirus			MK125141	Salmonella phage Lumpael	dsDNA
Mushuvirus			MG711460	Faecalibacterium phage FP_Mushu	dsDNA
Muvirus			AF083977	Escherichia phage Mu	dsDNA
Muvirus			KP010268	Shigella phage SfMu	dsDNA
Mweyongvirus			MZ436628	Microcystis phage Mwe-Yong1112-1	dsDNA
Mycoabscvirus			MW353181	Mycobacterium phage phiT46-1	dsDNA
Myoalterovirus			MN877442	Alteromonas phage vB_AmeM_PT11-V22	dsDNA
Myradeevirus			MF141539	Mycobacterium phage MyraDee	dsDNA
Myxoctovirus			AF396866	Myxococcus phage Mx8	dsDNA
Namazuvirus			KY417925	Ochrobactrum phage POI1126	dsDNA
Nanchangvirus			MW452562	Nocardia phage NC1	dsDNA
Nanhaivirus			KY606587	Dinoroseobacter phage vB_DshS-R5C	dsDNA
Neferthenavirus			MH697589	Microbacterium phage Neferthena	dsDNA
Nevevirus			KJ489010	Lactococcus phage P078	dsDNA
Nevevirus			KJ489011	Lactococcus phage P092	dsDNA
Nickievirus			MG018927	Pseudomonas phage nickie	dsDNA
Nitrunavirus			MF477236	Nocardia phage NTR1	dsDNA
Nonanavirus			KJ802832	Salmonella phage 9NA	dsDNA
Nonanavirus			KC139649	Salmonella phage SP069	dsDNA
Northamptonvirus			MH001450	Mycobacterium phage Jeon	dsDNA
Northamptonvirus			KY130461	Mycobacterium phage Taptic	dsDNA
Nubrunavirus			MW654182	Nocardia phage KYD2	dsDNA
Nubrunavirus			JN116828	Nocardia phage NBR1	dsDNA
Nyceiraevirus			KX557282	Gordonia phage Nyceirae	dsDNA
Nylescharonvirus			MF974396	Leptospira phage LE3	dsDNA
Nylescharonvirus			MF974397	Leptospira phage LE4	dsDNA
Odravirus			PV067699	Acinetobacter phage Acjo_20	dsDNA
Oengusvirus			MG711463	Faecalibacterium phage FP_Oengus	dsDNA
Omegavirus			JF937090	Mycobacterium phage Baka	dsDNA
Omegavirus			JN698997	Mycobacterium phage Courthouse	dsDNA
Oneupvirus			MK524501	Gordonia phage BrutonGaster	dsDNA
Oneupvirus			KU998245	Gordonia phage OneUp	dsDNA
Onyinyevirus			MN813687	Mycobacterium phage Onyinye	dsDNA
Oonoonbavirus			JX556417	Vibrio phage vB_VpaM_MAR	dsDNA
Oonoonbavirus			AY133112	Vibrio phage VHML	dsDNA
Oscarsovirus			OP434449	Microbacterium phage OscarSo	dsDNA
Oshimavirus			EU100883	Thermus phage P23-45	dsDNA
Oshimavirus			EU100884	Thermus phage P74-26	dsDNA
Paclarkvirus			KT337358	Streptococcus phage phiARI0468-4	dsDNA
Paclarkvirus			HF563658	Streptococcus phage phiBHN167	dsDNA
Pagevirus			KF669655	Bacillus phage Page	dsDNA
Pagevirus			KP411017	Bacillus phage Palmer	dsDNA
Pahexavirus			JX262225	Propionibacterium phage ATCC29399B_C	dsDNA
Pahexavirus			JX262224	Propionibacterium phage ATCC29399B_T	dsDNA
Pankowvirus			FJ188381	Stx2-converting phage 1717	dsDNA
Pankowvirus			FM180578	Enterobacteria phage 2851	dsDNA
Papyrusvirus			KF416342	Mycobacterium phage Papyrus	dsDNA
Papyrusvirus			JF704112	Mycobacterium phage Send513	dsDNA
Parlovirus			MK618715	Serratia phage Parlo	dsDNA
Patiencevirus			JN412589	Mycobacterium phage Patience	dsDNA
Pavtokvirus			MH426726	Erwinia phage Pavtok	dsDNA
Pavtokvirus			JN585957	Erwinia phage PEp14	dsDNA
Peebenunavirus			MK291441	Paracoccus phage vB_PbeS_Pben1	dsDNA
Peekonunavirus			MK291442	Paracoccus phage vB_PkoS_Pkon1	dsDNA
Peesulunavirus			MK291443	Paracoccus phage vB_PsuS_Psul1	dsDNA
Peethiunavirus			MK291444	Paracoccus phage vB_PthS_Pthi1	dsDNA
Peetremavirus			PV089522	Mycobacterium phage P3MA	dsDNA
Peetremavirus			MW314853.1	Mycobacterium phage phiGD34-2	dsDNA
Peeyeiunavirus			MK291445	Paracoccus phage vB_PyeM_Pyei1	dsDNA
Pemunavirus			AB711120	Bacillus phage PM1	dsDNA
Pepyhexavirus			GU580941	Rhodococcus phage ReqiPepy6	dsDNA
Pepyhexavirus			GU580942	Rhodococcus phage ReqiPoco6	dsDNA
Perisivirus			JN939332	Brucella phage Pr	dsDNA
Perisivirus			JN939331	Brucella phage Tb	dsDNA
Persistencevirus			MW712719	Arthrobacter phage Persistence	dsDNA
Phabquatrovirus			MF663786	Bordetella phage vB_BbrM_PHB04	dsDNA
Pharaohvirus			MK524530	Mycobacterium phage Pharaoh	dsDNA
Pharaohvirus			MH513984	Mycobacterium phage Steamy	dsDNA
Phifelvirus			GQ478081	Enterococcus phage phiFL1A	dsDNA
Phifelvirus			GQ478084	Enterococcus phage phiFL2A	dsDNA
Phleivirus			KT206225	Mycobacterium phage Phlei	dsDNA
Phrappuccinovirus			MK937592	Mycobacterium phage Phrappuccino	dsDNA
Picardvirus			KY092480	Streptomyces phage Picard	dsDNA
Pikminvirus			MG944218	Microbacterium phage Pikmin	dsDNA
Piorkowskivirus			KX879641	Streptococcus phage CHPC577	dsDNA
Piorkowskivirus			KX879642	Streptococcus phage CHPC926	dsDNA
Plaisancevirus			KU862660	Pseudomonas phage phiPMW	dsDNA
Plateaulakevirus			MK804893	Aeromonas phage 2L372D	dsDNA
Plateaulakevirus			MK813938	Aeromonas phage 2L372X	dsDNA
Pleeduovirus			KU848187	Lactobacillus phage PLE2	dsDNA
Pleetrevirus			KR905069	Lactobacillus phage iLp84	dsDNA
Pleetrevirus			KU848186	Lactobacillus phage PLE3	dsDNA
Polybotosvirus			MF403008	Agrobacterium phage Atu_ph07	dsDNA
Popoffvirus			JQ177063	Aeromonas phage vB_AsaM-56	dsDNA
Porunavirus			KT716399	Pseudomonas phage POR1	dsDNA
Poushouvirus			MF197383	Corynebacterium phage Poushou	dsDNA
Powerballvirus			MN234218	Gordonia phage Powerball	dsDNA
Predatorvirus			EU770222	Mycobacterium phage Predator	dsDNA
Psavirus			JX120799	Listeria phage LP-030-2	dsDNA
Psavirus			AJ312240	Listeria phage PSA	dsDNA
Pukovnikvirus			KU568494	Mycobacterium phage Bactobuster	dsDNA
Pukovnikvirus			MK279857	Mycobacterium phage IronMan	dsDNA
Pulverervirus			KU984979	Propionibacterium phage PFR1	dsDNA
Pumpernickelvirus			OK040790	Microbacterium phage Pumpernickel	dsDNA
Punavirus			AF234172	Escherichia phage P1	dsDNA
Punavirus			FO818745	Escherichia phage RCS47	dsDNA
Puppervirus			MK977695	Gordonia phage Pupper	dsDNA
Purivirus			OM418631	Pseudomonas phage UFJF_PfDIW6	dsDNA
Qingdaovirus			MF370964	Pseudoalteromonas phage J2-1	dsDNA
Questintvirus			DQ490056	Lactococcus phage Q54	dsDNA
Quivirus			MN183282	Arthrobacter phage Qui	dsDNA
Rahariannevirus			MT740745	Ralstonia phage Raharianne	dsDNA
Raleighvirus			MH825699	Streptomyces phage Darolandstone	dsDNA
Raleighvirus			KY092484	Streptomyces phage Raleigh	dsDNA
Rauchvirus			AY029185	Bordetella phage BPP-1	dsDNA
Ravarandavirus			MK605242	Nodularia phage vB_NspS-kac65v151	dsDNA
Ravarandavirus			MK605245	Nodularia phage vB_NspS-kac68v161	dsDNA
Ravinvirus			AF064539	Escherichia phage N15	dsDNA
Rcapmuvirus			JN190960.1	Rhodobacter phage RcapMu	dsDNA
Rcapmuvirus			MW677528.1	Rhodobacter phage RcWaterboi	dsDNA
Readingvirus			MT104475	Pseudomonas phage MR15	dsDNA
Readingvirus			KJ507100	Pseudomonas phage phiPSA1	dsDNA
Refugevirus			KX657793	Mycobacterium phage DarthPhader	dsDNA
Refugevirus			MK494113	Mycobacterium phage Refuge	dsDNA
Reqipinevirus			GU580943	Rhodococcus phage ReqiPine5	dsDNA
Rerduovirus			MF324898	Rhodococcus phage Hiro	dsDNA
Rerduovirus			MW291027	Rhodococcus phage PhailMary	dsDNA
Reynauldvirus			OR159659	Rhodococcus phage Reynauld	dsDNA
Ribunavirus			JF974315.1	Rhizobium phage RR1-B	dsDNA
Richievirus			MH834598	Arthrobacter phage Auxilium	dsDNA
Richievirus			MH834625	Arthrobacter phage Richie	dsDNA
Ricunavirus			JF974308.1	Rhodobacter phage RC1	dsDNA
Rigallicvirus			KF977490	Rhizobium phage vB_RglS_P106B	dsDNA
Rimavirus			MF467948	Streptomyces phage DrGrey	dsDNA
Rimavirus			KX670790	Streptomyces phage Rima	dsDNA
Rivsvirus			MW366843	Erwinia phage pEa_SNUABM_5	dsDNA
Rockefellervirus			DQ831957	Staphylococcus phage CNPH82	dsDNA
Rockefellervirus			KU598975	Staphylococcus phage CNPx	dsDNA
Rockvillevirus			KT970645	Bacillus phage phi4J1	dsDNA
Rogerhendrixvirus			MH183162	Microbacterium phage Hendrix	dsDNA
Ronaldovirus			MH479913	Gordonia phage Fryberger	dsDNA
Ronaldovirus			MH479925	Gordonia phage Ronaldo	dsDNA
Rosariovirus			MN103533	Mycobacterium phage Weirdo19	dsDNA
Rosemountvirus			MT074439	Salmonella phage birk	dsDNA
Rosemountvirus			KM366099	Salmonella phage BP63	dsDNA
Roslyckyvirus			MF403009	Agrobacterium phage Atu_ph08	dsDNA
Roufvirus			JF974294	Aeromonas phage pIS4-A	dsDNA
Rovertvirus			MW021761	Serratia phage vB_SmaS_Rovert	dsDNA
Rowavirus			MG593803	Streptomyces phage Rowa	dsDNA
Ruthyvirus			MT024859	Gordonia phage DumpsterDude	dsDNA
Ruthyvirus			MH536826	Gordonia phage Ruthy	dsDNA
Ryyoungvirus			AY605181	Burkholderia phage BcepC6B	dsDNA
Sagamiharavirus			AP018486	Mycobacterium phage PP	dsDNA
Saintgironsvirus			BX571876	Leptospira phage LE1	dsDNA
Salmondvirus			MH389777	Dickeya phage vB_DsoM_JA11	dsDNA
Salmondvirus			MH460461	Dickeya phage vB_DsoM_JA29	dsDNA
Saltrevirus			KX017520	Salmonella phage 64795_sal3	dsDNA
Samaravirus			MN604698	Bacillus phage vB_BcM_Sam46	dsDNA
Samunavirus			KU245542	Pseudomonas phage SM1	dsDNA
Sandinevirus			AJ245616	Lactococcus phage BK5-T	dsDNA
Sansavirus			KT001913	Caulobacter phage Sansa	dsDNA
Santafevirus			KJ192196	Mycobacterium phage 40AC	dsDNA
Santhisvirus			MZ209302	Gordonia phage Jojo24	dsDNA
Santhisvirus			MK814759	Gordonia phage Reyja	dsDNA
Saphexavirus			AB712291	Enterococcus phage BC611	dsDNA
Saphexavirus			KF192053	Enterococcus phage IME-EF1	dsDNA
Sargevirus			OK040780	Arthrobacter phage Sarge	dsDNA
Sarumanvirus			MK552140	Burkholderia phage BcepSaruman	dsDNA
Sarumanvirus			MK552141	Burkholderia phage BcepSauron	dsDNA
Sasdunavirus			GQ379227	Streptomyces phage phiSASD1	dsDNA
Sashavirus			KX987158	Salmonella phage vB_SenS_Sasha	dsDNA
Sasquatchvirus			KY984068	Erwinia phage vB_EamM_Y3	dsDNA
Sasvirus			AJ278322	Corynebacterium phage BFK20	dsDNA
Saundersvirus			KY565347	Geobacillus phage TP-84	dsDNA
Sawaravirus			AP012537	Stx2-converting phage Stx2a_WGPS2	dsDNA
Scappvirus			MH553517	Serratia phage Scapp	dsDNA
Scapunavirus			MF975637	Streptomyces phage Scap1	dsDNA
Schmidvirus			AB647160	Helicobacter phage KHP30	dsDNA
Schmidvirus			AB731695	Helicobacter phage KHP40	dsDNA
Schmittlotzvirus			JQ312117	Agrobacterium phage 7-7-1	dsDNA
Schnabeltiervirus			KU963252	Gordonia phage Schnabeltier	dsDNA
Schubertvirus			MK308637	Microbacterium phage Schubert	dsDNA
Seahorsevirus			MN512538	Vibrio phage Seahorse	dsDNA
Seamegvirus			MH910041	Arthrobacter phage Seahorse	dsDNA
Segzyvirus			MN737551	Salmonella phage LPSTLL	dsDNA
Segzyvirus			MH791402	Salmonella phage Segz_1	dsDNA
Sendosyvirus			AF157835	Hamiltonella phage APSE-1	dsDNA
Sendosyvirus			EU794049	Bacteriophage APSE-2	dsDNA
Seongbukvirus			HM596271	Leuconostoc phage phiMH1	dsDNA
Sepahanvirus			LC779065	Yersinia phage vB_Yru_GN1	dsDNA
Sepahanvirus			MW570730	Yersinia phage YerA41	dsDNA
Serbinvirus			OL539452	Serratia phage vB_SmaS_Opt-155	dsDNA
Serbinvirus			MK608336	Serratia phage Serbin	dsDNA
Seussvirus			KT001914	Caulobacter phage Seuss	dsDNA
