Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Vedamuthuvirus	31.0	31	31	36.0	36	36	5
Veewebvirus	49.0	49	49	71.0	71	71	1
Veracruzvirus	50.0	46	51	64.0	64	64	8
Vespunovirus	39.0	39	39	35.0	35	35	1
Vhulanivirus	38.0	38	38	65.0	65	65	1
Vicosavirus	45.5	45	46	51.5	51	52	2
Vidquintavirus	61.0	61	61	49.0	49	49	1
Waukeshavirus	48.5	46	51	35.0	35	35	2
Wbetavirus	40.0	38	41	35.0	35	36	12
Weaselvirus	135.0	135	135	41.0	41	41	1
Whackvirus	50.0	50	50	62.0	62	62	1
Whiteheadvirus	37.0	37	37	51.0	51	51	1
Whytuvirus	15.0	15	15	64.5	64	65	2
Wodongavirus	39.0	39	39	66.0	66	66	1
Woesvirus	74.0	74	74	59.0	59	59	1
Wollypogvirus	63.0	63	63	59.0	59	59	1
Wolominvirus	41.0	41	41	55.0	55	55	1
Woodruffvirus	57.0	57	57	69.0	69	69	2
Xajduovirus	49.0	49	49	47.0	47	47	1
Xiamenvirus	63.5	63	64	57.5	57	58	2
Xipdecavirus	44.0	44	45	52.0	51	52	3
Xuquatrovirus	62.0	62	62	53.0	53	53	1
Yanchengvirus	41.0	41	41	55.0	55	55	1
Yeceytrevirus	53.0	53	53	63.0	63	63	1
Yokohamavirus	43.0	43	43	53.0	53	53	2
Yoloswagvirus	260.0	260	260	47.0	47	47	1
Yongloolinvirus	53.0	44	57	29.0	28	29	4
Yvonnevirus	98.0	98	98	60.0	60	60	1
Zhangqianvirus	43.0	43	43	34.0	34	34	1
Zhuquevirus	42.0	42	42	56.0	56	56	1
Zukovirus	82.5	82	83	64.0	64	64	2
Hukuchivirus	18.5	17	20	67.0	66	68	2
Elsinorevirus	11.0	11	11	47.0	47	47	1
Rumoivirus	10.0	10	10	44.0	44	44	1
Ameliavirus	11.0	11	11	43.0	43	43	1
Livvievirus	11.0	11	11	47.0	47	47	1
Oliviavirus	11.0	11	11	44.0	44	44	1
Paulavirus	10.0	10	10	41.5	41	42	2
Merivirus	10.5	10	11	42.0	42	42	2
Anticleavirus	9.0	9	9	62.0	62	62	1
Polymedevirus	9.0	9	9	57.0	57	57	1
Corycianvirus	10.0	10	10	46.0	46	46	1
Alphatectivirus	15.0	15	15	48.0	48	48	2
Betatectivirus	14.5	14	15	39.5	37	40	6
Deltatectivirus	18.0	18	18	54.5	54	55	2
Epsilontectivirus	17.0	17	17	54.0	54	54	1
Gammatectivirus	17.0	17	17	50.0	50	50	1
