Genus	Median Genome Length (KB)	Min Genome Length (KB)	Max Genome Length (KB)	Median molGC (%)	Min molGC (%)	Max molGC (%)	Sample Size
Votkovvirus	41.0	41	41	33.0	33	33	1
Yinyavirus	45.0	45	45	51.0	51	51	1
Youngvirus	44.0	44	44	47.0	47	47	1
Kahucivirus	83.0	83	83	26.0	26	26	1
Jahgtovirus	93.5	93	94	32.0	32	32	2
Carjivirus	98.0	97	99	29.0	29	29	5
Delmidovirus	92.0	90	94	30.5	30	31	2
Diorhovirus	91.0	91	91	31.0	31	31	1
Whopevirus	95.0	95	95	29.0	29	29	1
Fohxhuevirus	93.0	93	93	30.0	30	30	1
Hacihdavirus	93.0	93	93	31.0	31	31	1
Wotdevirus	90.0	90	90	29.0	29	29	1
Rudgehvirus	91.0	91	91	29.0	29	29	1
Akihdevirus	100.0	100	100	30.0	30	30	1
Kehishuvirus	101.0	99	103	35.0	35	35	9
Kolpuevirus	99.5	99	100	34.0	33	35	2
Lahndsivirus	102.0	102	102	40.0	40	40	1
Mahlunavirus	95.0	95	95	33.0	33	33	1
Mahstovirus	102.0	102	102	33.0	33	33	1
Pamirivirus	101.0	101	101	33.0	33	33	1
Paundivirus	100.0	100	100	32.0	32	32	1
Pipoluvirus	101.0	101	101	37.0	37	37	1
Wulfhauvirus	99.0	99	99	37.0	37	37	1
Kahnovirus	98.0	98	98	38.0	38	38	1
Canhaevirus	100.0	100	100	34.0	34	34	1
Cohcovirus	99.0	99	99	33.0	33	33	1
Besingivirus	93.0	93	93	29.0	29	29	1
Dechshavirus	100.0	100	100	42.0	42	42	1
Culoivirus	99.0	98	100	32.0	32	32	2
Amboselivirus	548.0	548	548	26.0	26	26	1
Vetruanivirus	541.0	540	542	26.0	26	26	3
Agtrevirus	159.0	158	161	50.0	50	51	5
Limestonevirus	153.5	152	155	49.5	49	50	2
Kuttervirus	157.0	143	163	45.0	44	46	40
Campanilevirus	148.0	148	148	47.0	47	47	1
Kujavirus	148.0	148	148	36.0	36	36	1
Miltonvirus	158.5	158	159	51.5	51	52	2
Nezavisimistyvirus	163.0	162	164	50.0	50	50	2
Taipeivirus	158.5	155	161	46.0	46	47	8
Tedavirus	145.0	145	145	48.0	48	48	1
Vapseptimavirus	145.0	145	145	42.0	42	42	1
Acionnavirus	170.0	170	170	39.0	39	39	1
Ahtivirus	180.0	180	180	41.0	41	41	1
Alisovirus	172.0	172	172	40.0	40	40	1
Anaposvirus	198.0	198	198	43.0	43	43	1
Atlauavirus	217.0	197	223	42.0	42	42	3
Bellamyvirus	205.0	205	205	41.0	41	41	1
Bristolvirus	194.0	194	194	40.0	40	40	1
Brizovirus	175.0	174	176	40.0	40	40	3
Chalconvirus	190.0	189	191	39.0	39	39	2
Charybdisvirus	198.0	198	198	42.0	42	42	1
Cymopoleiavirus	186.0	186	186	41.0	41	41	1
Emcearvirus	177.0	177	177	40.0	40	40	1
Galenevirus	173.0	173	173	40.0	40	40	1
Gibbetvirus	194.0	194	194	41.0	41	41	1
Glaucusvirus	176.0	176	176	40.0	40	40	1
Greenvirus	183.0	183	183	39.0	39	39	1
Haifavirus	197.0	197	197	34.0	34	34	1
Huanghaivirus	167.0	167	167	50.0	50	50	1
Kanaloavirus	175.0	175	175	39.0	39	39	1
Leucotheavirus	168.5	158	179	40.0	40	40	2
Libanvirus	189.0	189	189	41.0	41	41	1
Lipsvirus	233.0	233	233	39.0	39	39	1
Lowelvirus	179.0	179	179	40.0	40	40	1
Macariavirus	175.0	175	175	39.0	39	39	1
Makaravirus	167.0	167	167	50.0	50	50	1
Makelovirus	144.0	144	144	41.0	41	41	1
Mazuvirus	216.0	216	216	41.0	41	41	1
Namakavirus	176.0	176	176	39.0	39	39	1
Neptunevirus	172.5	171	174	40.5	40	41	2
Nereusvirus	164.0	155	173	39.0	39	39	2
Neritesvirus	171.0	171	171	39.0	39	39	1
Nerrivikvirus	175.0	175	175	42.0	42	42	1
Nilusvirus	191.0	191	191	40.0	40	40	1
Nodensvirus	196.0	196	196	38.0	38	38	1
Ormenosvirus	177.0	177	177	41.0	41	41	1
Palaemonvirus	182.0	182	182	37.0	37	37	1
Pontusvirus	175.0	175	175	41.0	41	41	1
Potamoivirus	192.0	192	192	39.0	39	39	2
Ronodorvirus	178.5	178	179	37.0	37	37	2
Salacisavirus	252.0	252	252	36.0	36	36	1
Scyllavirus	192.0	192	192	41.0	41	41	1
